134.0.0.0,134.255.255.255,SE
135.0.0.0,135.255.255.255,GB
136.0.0.0,136.255.255.255,US
137.0.0.0,137.255.255.255,US
138.0.0.0,138.255.255.255,US
139.0.0.0,139.255.255.255,JP
140.0.0.0,140.255.255.255,US
141.0.0.0,141.255.255.255,US
142.0.0.0,142.255.255.255,US
143.0.0.0,143.255.255.255,BR
144.0.0.0,144.255.255.255,US
145.0.0.0,145.255.255.255,NL
146.0.0.0,146.255.255.255,US
147.0.0.0,147.255.255.255,US
148.0.0.0,148.255.255.255,US
149.0.0.0,149.255.255.255,US
150.0.0.0,150.255.255.255,JP
151.0.0.0,151.255.255.255,US
152.0.0.0,152.255.255.255,US
153.0.0.0,153.255.255.255,US
154.0.0.0,154.255.255.255,ZA
155.0.0.0,155.255.255.255,IT
156.0.0.0,156.255.255.255,JP
157.0.0.0,157.255.255.255,US
158.0.0.0,158.255.255.255,GB
159.0.0.0,159.255.255.255,US
160.0.0.0,160.255.255.255,US
161.0.0.0,161.255.255.255,US
162.0.0.0,162.255.255.255,US
163.0.0.0,163.255.255.255,CN
164.0.0.0,164.255.255.255,US
165.0.0.0,165.255.255.255,US
166.0.0.0,166.255.255.255,US
167.0.0.0,167.255.255.255,US
168.0.0.0,168.255.255.255,US
169.0.0.0,169.255.255.255,US
170.0.0.0,170.255.255.255,BR
171.0.0.0,171.255.255.255,AU
172.0.0.0,172.255.255.255,US
173.0.0.0,173.255.255.255,US
174.0.0.0,174.255.255.255,US
175.0.0.0,175.255.255.255,AU
176.0.0.0,176.255.255.255,RU
177.0.0.0,177.255.255.255,BR
178.0.0.0,178.255.255.255,RU
179.0.0.0,179.255.255.255,RU
180.0.0.0,180.255.255.255,CN
181.0.0.0,181.255.255.255,AR
182.0.0.0,182.255.255.255,CN
183.0.0.0,183.255.255.255,CN
184.0.0.0,184.255.255.255,US
185.0.0.0,185.255.255.255,RU
186.0.0.0,186.255.255.255,BR
187.0.0.0,187.255.255.255,BR
188.0.0.0,188.255.255.255,BR
189.0.0.0,189.255.255.255,BR
190.0.0.0,190.255.255.255,BR
191.0.0.0,191.255.255.255,BR
192.0.0.0,192.255.255.255,US
193.0.0.0,193.255.255.255,EU
194.0.0.0,194.255.255.255,EU
195.0.0.0,195.255.255.255,EU
196.0.0.0,196.255.255.255,ZA
197.0.0.0,197.255.255.255,ZA
198.0.0.0,198.255.255.255,US
199.0.0.0,199.255.255.255,US
200.0.0.0,200.255.255.255,BR
201.0.0.0,201.255.255.255,BR
202.0.0.0,202.255.255.255,JP
203.0.0.0,203.255.255.255,AU
204.0.0.0,204.255.255.255,US
205.0.0.0,205.255.255.255,US
206.0.0.0,206.255.255.255,US
207.0.0.0,207.255.255.255,US
208.0.0.0,208.255.255.255,US
209.0.0.0,209.255.255.255,US
210.0.0.0,210.255.255.255,JP
211.0.0.0,211.255.255.255,JP
212.0.0.0,212.255.255.255,RU
213.0.0.0,213.255.255.255,RU
214.0.0.0,214.255.255.255,US
215.0.0.0,215.255.255.255,US
216.0.0.0,216.255.255.255,US
217.0.0.0,217.255.255.255,RU
218.0.0.0,218.255.255.255,CN
219.0.0.0,219.255.255.255,CN
220.0.0.0,220.255.255.255,AU
221.0.0.0,221.255.255.255,CN
222.0.0.0,222.255.255.255,AU
223.0.0.0,223.255.255.255,CN
